Step,Changes,Fire_Safety_Index,Max_Temperature,CO_Concentration,Oxygen_Consumed,Total_Smoke
0,2,98.915,40.591703125,10.0,0.14666666666666592,0.085
1,3,96.5856,69.07452339532067,30.000000000000004,0.7056666666666633,0.4144
2,4,92.9539564,111.41265565442974,60.0,1.7734059999999945,1.0460436
3,8,87.9641290616,162.60268486943343,100.0,3.4431182306666557,2.0358709384
4,9,78.0074169488304,224.80887526065058,180.0,6.744305085282649,3.9925830511696003
5,11,66.41128033436782,295.8108260437068,270.0,11.116199442720278,6.588719665632183
6,15,51.950673228637214,373.6227889515021,380.0,16.938877952271277,10.04932677136279
7,20,32.165242246172156,456.89456992190543,530.0,24.98959625637969,14.834757753827846
8,25,5.670672499378796,549.4341020499824,730.0000000000001,35.91387916770196,21.3293275006212
9,28,0,650.457129158046,980.0000000000002,50.111290828838015,29.772774497302862
10,32,0,753.763104001833,1270.0,67.59890610805746,40.17834366483456
11,43,0,860.4820434564165,1620.0000000000007,89.17976601217336,53.021859607304094
12,44,0,958.0228624945097,2070.0000000000005,116.2995327761141,69.15871966566856
13,50,0,1048.6800558816215,2560.0,147.59818678507833,87.7909120710471
14,58,0,1133.7799304418513,3110.000000000001,183.7370182485015,109.30921094910099
15,63,0,1212.3981972613374,3720.0000000000005,224.56924290944445,133.62554574566678
16,67,0,1314.0163023411915,4410.000000000002,270.7547805787194,161.12986834723168
17,72,0,1426.0341632173331,5170.000000000003,322.03303453650125,191.66882072190074
18,77,0,1527.5644733917527,5990.000000000001,377.8317318994942,224.90203913969665
19,79,0,1607.1409939072169,6849.999999999998,437.098338871709,260.20400332302546
20,73,0,1668.4284402840678,7740.000000000001,498.79369252247676,296.9542155134861
21,77,0,1714.2568021319971,8609.999999999998,561.1475287913081,334.09951727478494
22,84,0,1774.4936677599324,9510.0,624.4785315739808,371.8191189443886
23,82,0,1888.6355316173074,10440.0,687.6939068427968,409.45734410567815
24,77,0,1980.9754486649285,11340.0,749.4835606519678,446.2401363911808
25,76,0,2053.1573147625318,12240.000000000004,808.8193236673571,481.5475942004144
